STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	173740	Pokémon Elegant Emerald	Nintendo Game Boy Advance
GAME	173776	Pokémon Elemental Rift	Nintendo Game Boy Advance
GAME	173777	Pokémon Elite Quest	Nintendo Game Boy Advance
GAME	423576	Pokémon Elite Redux	Nintendo Game Boy Advance
GAME	470710	Pokémon Emerald 386	Nintendo Game Boy Advance
GAME	173780	Pokémon Emerald 802	Nintendo Game Boy Advance
GAME	173782	Pokémon Emerald Advanced	Nintendo Game Boy Advance
GAME	418594	Pokémon Emerald Ambulation	Nintendo Game Boy Advance
GAME	173784	Pokémon Emerald Balanced	Nintendo Game Boy Advance
GAME	418556	Pokémon Emerald Chaos Ambulation	Nintendo Game Boy Advance
GAME	423009	Pokémon Emerald Crest	Nintendo Game Boy Advance
GAME	453805	Pokémon Emerald DX	Nintendo Game Boy Advance
GAME	173695	Pokémon Emerald Double Version	Nintendo Game Boy Advance
GAME	171873	Pokémon Emerald Enhanced	Nintendo Game Boy Advance
GAME	173788	Pokémon Emerald Epsilon	Nintendo Game Boy Advance
GAME	173895	Pokémon Emerald Expert	Nintendo Game Boy Advance
GAME	423022	Pokémon Emerald Final	Nintendo Game Boy Advance
GAME	173790	Pokémon Emerald Genesis	Nintendo Game Boy Advance
GAME	173791	Pokémon Emerald Green	Nintendo Game Boy Advance
GAME	173792	Pokémon Emerald Hard Edition	Nintendo Game Boy Advance
GAME	422998	Pokémon Emerald Horizons	Nintendo Game Boy Advance
GAME	470705	Pokémon Emerald Imperium	Nintendo Game Boy Advance
GAME	206778	Pokémon Emerald Kaizo	Nintendo Game Boy Advance
GAME	478239	Pokémon Emerald Legacy Enhanced	Nintendo Game Boy Advance
GAME	173902	Pokémon Emerald Lucario	Nintendo Game Boy Advance
GAME	173905	Pokémon Emerald Omega	Nintendo Game Boy Advance
GAME	173904	Pokémon Emerald Renewal	Nintendo Game Boy Advance
GAME	421083	Pokémon Emerald Rogue	Nintendo Game Boy Advance
GAME	450813	Pokémon Emerald Seaglass	Nintendo Game Boy Advance
GAME	2365	Pokémon Emerald Version	Nintendo Game Boy Advance
GAME	471349	Pokémon Emerald Version: Party Randomizer	Nintendo Game Boy Advance
GAME	173787	Pokémon Emerald of Dreams	Nintendo Game Boy Advance
GAME	174576	Pokémon Emerald: Wally Version	Nintendo Game Boy Advance
GAME	173900	Pokémon Eruption	Nintendo Game Boy Advance
GAME	165012	Pokémon Eternal Snow	Nintendo Game Boy Advance
GAME	173897	Pokémon Evil Drill 1 Star Stone	Nintendo Game Boy Advance
